rank,feature_id,feature_name,metric,value,dominant_dwelling_type,source,methodology_note
31,59150200,DA 59150200,multiunit_share,0.9643,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
32,59150074,DA 59150074,multiunit_share,0.9592,ROW_HOUSE,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
33,59150176,DA 59150176,multiunit_share,0.9535,ROW_HOUSE,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
34,59150099,DA 59150099,multiunit_share,0.9512,ROW_HOUSE,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
35,59150141,DA 59150141,multiunit_share,0.9403,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
36,59150198,DA 59150198,multiunit_share,0.9241,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
37,59150073,DA 59150073,multiunit_share,0.8861,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
38,59150083,DA 59150083,multiunit_share,0.8654,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
39,59150098,DA 59150098,multiunit_share,0.8649,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
40,59153965,DA 59153965,multiunit_share,0.8636,APARTMENT_5PLUS,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
41,59153963,DA 59153963,multiunit_share,0.85,APARTMENT_DUPLEX,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
42,59150093,DA 59150093,multiunit_share,0.8491,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
43,59150089,DA 59150089,multiunit_share,0.8462,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
44,59150140,DA 59150140,multiunit_share,0.814,APARTMENT_LT5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Occupied private dwellings by structural type, directly from the Census Profile."
