icbc_location,crash_count,reason
E 13TH ST # 000317 TO 000399,2,fewer than 2 street names parsed (mid-block record)
E 13TH ST & HENDRY AVE,2,CNV street names but no matching CNV intersection
E 14TH ST # 000100 TO 000120,2,fewer than 2 street names parsed (mid-block record)
E 15TH ST # 001300 TO 001399,2,fewer than 2 street names parsed (mid-block record)
E 15TH ST & MOUNTAIN HWY,2,fewer than 2 of the named streets are CNV streets
E 16TH ST # 000200 TO 000235,2,fewer than 2 street names parsed (mid-block record)
E 16TH ST # 000300 TO 000319,2,fewer than 2 street names parsed (mid-block record)
E 16TH ST & GRAND BLVD E,2,fewer than 2 of the named streets are CNV streets
E 1ST ST # 000300 TO 000399,2,fewer than 2 street names parsed (mid-block record)
E 1ST ST # 000400 TO 000499,2,fewer than 2 street names parsed (mid-block record)
E 27TH ST # 001210 TO 001279,2,fewer than 2 street names parsed (mid-block record)
E 27TH ST & WHITELEY CRT,2,fewer than 2 of the named streets are CNV streets
E 28TH ST # 000300 TO 000319,2,fewer than 2 street names parsed (mid-block record)
E 29TH ST # 000200 TO 000298,2,fewer than 2 street names parsed (mid-block record)
E 29TH ST # 000700 TO 000749,2,fewer than 2 street names parsed (mid-block record)
E 29TH ST # 001000 TO 001099,2,fewer than 2 street names parsed (mid-block record)
E 2ND ST # 000120 TO 000199,2,fewer than 2 street names parsed (mid-block record)
E 2ND ST # 000500 TO 000599,2,fewer than 2 street names parsed (mid-block record)
E 3RD ST # 000122 TO 000199,2,fewer than 2 street names parsed (mid-block record)
E 3RD ST # 001126 TO 001160 even,2,fewer than 2 street names parsed (mid-block record)
E 5TH ST # 000122 TO 000199,2,fewer than 2 street names parsed (mid-block record)
E 5TH ST # 000300 TO 000399,2,fewer than 2 street names parsed (mid-block record)
E 6TH ST # 000300 TO 000399,2,fewer than 2 street names parsed (mid-block record)
E 7TH ST # 000800 TO 000899,2,fewer than 2 street names parsed (mid-block record)
E BRAEMAR RD # 000200 TO 000429,2,fewer than 2 street names parsed (mid-block record)
E KEITH RD # 000100 TO 000154 even,2,fewer than 2 street names parsed (mid-block record)
E KEITH RD & OLD LILLOOET RD,2,fewer than 2 of the named streets are CNV streets
E KENSINGTON RD & KENSINGTON CRES & LONSDALE AVE,2,fewer than 2 of the named streets are CNV streets
E KINGS RD # 000118 TO 000199,2,fewer than 2 street names parsed (mid-block record)
E ST JAMES RD # 000750 TO 000774,2,fewer than 2 street names parsed (mid-block record)
E ST JAMES RD & ST GEORGES AVE,2,fewer than 2 of the named streets are CNV streets
E WINDSOR RD & ST GEORGES AVE,2,fewer than 2 of the named streets are CNV streets
EASTERN AVE # 002700 TO 002899,2,fewer than 2 street names parsed (mid-block record)
EASTLEIGH LANE # 001900 TO 002099,2,fewer than 2 street names parsed (mid-block record)
EASTVIEW RD # 001200 TO 001299,2,fewer than 2 street names parsed (mid-block record)
EDGEMONT BLVD # 003500 TO 003749,2,fewer than 2 street names parsed (mid-block record)
EDGEMONT BLVD # 003750 TO 003771,2,fewer than 2 street names parsed (mid-block record)
EDGEMONT BLVD & THORNCLIFFE DR,2,fewer than 2 of the named streets are CNV streets
EDGEWOOD RD # 001020 TO 001049,2,fewer than 2 street names parsed (mid-block record)
ELLIS ST & PLYMOUTH DR,2,fewer than 2 of the named streets are CNV streets
EMERALD DR # 003600 TO 003999,2,fewer than 2 street names parsed (mid-block record)
EVELYN ST & UNDERWOOD AVE,2,fewer than 2 of the named streets are CNV streets
FAIRWAY DR # 000500 TO 000699,2,fewer than 2 street names parsed (mid-block record)
FERN ST # 001500 TO 001539,2,fewer than 2 street names parsed (mid-block record)
FERN ST & SEYLYNN CRES,2,fewer than 2 of the named streets are CNV streets
FORESTER ST # 000050 TO 000258,2,fewer than 2 street names parsed (mid-block record)
FREDERICK RD # 001128 TO 001199,2,fewer than 2 street names parsed (mid-block record)
FREDERICK RD & INSTITUTE RD,2,fewer than 2 of the named streets are CNV streets
FROMME RD # 003600 TO 003645,2,fewer than 2 street names parsed (mid-block record)
FROMME RD & WELLINGTON DR,2,fewer than 2 of the named streets are CNV streets
FULLERTON AVE # 002020 TO 002029,2,fewer than 2 street names parsed (mid-block record)
FULLERTON AVE & GLENAIRE DR,2,fewer than 2 of the named streets are CNV streets
GALLANT AVE # 004360 TO 004399,2,fewer than 2 street names parsed (mid-block record)
GARDEN AVE # 000100 TO 000149,2,fewer than 2 street names parsed (mid-block record)
GLADWIN DR # 001100 TO 001198 even,2,fewer than 2 street names parsed (mid-block record)
GLENAIRE DR # 001801 TO 001999,2,fewer than 2 street names parsed (mid-block record)
GLENHAVEN CRES # 004170 TO 004239,2,fewer than 2 street names parsed (mid-block record)
GREYLYNN CRES # 002170 TO 002299,2,fewer than 2 street names parsed (mid-block record)
HAMBER PL & MT SEYMOUR RD,2,fewer than 2 of the named streets are CNV streets
HAMILTON AVE # 001600 TO 001625,2,fewer than 2 street names parsed (mid-block record)
HARBOUR AVE # 000170 TO 000179,2,fewer than 2 street names parsed (mid-block record)
HARBOURSIDE DR # 000800 TO 000849,2,fewer than 2 street names parsed (mid-block record)
HARBOURSIDE DR # 000957 TO 000999,2,fewer than 2 street names parsed (mid-block record)
HARDY CRES # 002600 TO 002749,2,fewer than 2 street names parsed (mid-block record)
HENDERSON AVE # 003600 TO 003699,2,fewer than 2 street names parsed (mid-block record)
HENDRY AVE # 000700 TO 000725,2,fewer than 2 street names parsed (mid-block record)
HIGHLAND BLVD # 003000 TO 003049,2,fewer than 2 street names parsed (mid-block record)
HIGHLAND BLVD # 004150 TO 004199,2,fewer than 2 street names parsed (mid-block record)
HIGHLAND BLVD # 004600 TO 004799,2,fewer than 2 street names parsed (mid-block record)
HIGHLAND BLVD & MONTROYAL BLVD,2,fewer than 2 of the named streets are CNV streets
HIGHLAND BLVD & NEWMARKET DR,2,fewer than 2 of the named streets are CNV streets
HILLCREST AVE & SUNSET BLVD,2,fewer than 2 of the named streets are CNV streets
HOPE RD & TATLOW AVE,2,fewer than 2 of the named streets are CNV streets
HOSKINS RD # 002000 TO 002119,2,fewer than 2 street names parsed (mid-block record)
HOSKINS RD # 004500 TO 004599,2,fewer than 2 street names parsed (mid-block record)
HOSKINS RD # 004601 TO 004639 odd,2,fewer than 2 street names parsed (mid-block record)
HOSKINS RD # 004670 TO 004799,2,fewer than 2 street names parsed (mid-block record)
INDIAN RIVER CRES # 001902 TO 001944,2,fewer than 2 street names parsed (mid-block record)
INDIAN RIVER DR # 003901 TO 003964,2,fewer than 2 street names parsed (mid-block record)
INDIAN RIVER DR # 004054 TO 004099,2,fewer than 2 street names parsed (mid-block record)
INDIAN RIVER DR # 005608 TO 005690 even,2,fewer than 2 street names parsed (mid-block record)
INLET CRES # 004000 TO 004009,2,fewer than 2 street names parsed (mid-block record)
JONES AVE # 001900 TO 001999,2,fewer than 2 street names parsed (mid-block record)
JONES AVE # 002143 TO 002224,2,fewer than 2 street names parsed (mid-block record)
KEATS RD # 002500 TO 002599,2,fewer than 2 street names parsed (mid-block record)
KENNARD AVE & WHITCHURCH ST,2,fewer than 2 of the named streets are CNV streets
KILMARNOCK CRES # 002300 TO 002429,2,fewer than 2 street names parsed (mid-block record)
KILMER RD # 001330 TO 001439,2,fewer than 2 street names parsed (mid-block record)
KIRKSTONE RD & MAGNUSSEN PL & MOLLIE NYE WAY,2,fewer than 2 of the named streets are CNV streets
LAING DR # 001400 TO 001549,2,fewer than 2 street names parsed (mid-block record)
LARSON RD & W QUEENS RD,2,fewer than 2 of the named streets are CNV streets
LAURALYNN DR # 002500 TO 002699,2,fewer than 2 street names parsed (mid-block record)
LILE DR # 000602 TO 000602 even,2,fewer than 2 street names parsed (mid-block record)
LILLOOET RD # 001100 TO 001199,2,fewer than 2 street names parsed (mid-block record)
LILLOOET RD & SKEENA RD,2,fewer than 2 of the named streets are CNV streets
LIONS AVE # 004200 TO 004299,2,fewer than 2 street names parsed (mid-block record)
LIONS AVE # 004370 TO 004399,2,fewer than 2 street names parsed (mid-block record)
LIONS GATE LANE # 001700 TO 001899,2,fewer than 2 street names parsed (mid-block record)
LISGAR CRT # 000900 TO 000969,2,fewer than 2 street names parsed (mid-block record)
LLOYD AVE # 001300 TO 001349,2,fewer than 2 street names parsed (mid-block record)
LONSDALE AVE # 000200 TO 000298 even,2,fewer than 2 street names parsed (mid-block record)
LONSDALE AVE # 002900 TO 002985,2,fewer than 2 street names parsed (mid-block record)
LONSDALE AVE # 003000 TO 003049,2,fewer than 2 street names parsed (mid-block record)
LONSDALE AVE # 003200 TO 003249,2,fewer than 2 street names parsed (mid-block record)
LOW LEVEL RD # 000370 TO 000991,2,fewer than 2 street names parsed (mid-block record)
LOWRY LANE # 000600 TO 000650,2,fewer than 2 street names parsed (mid-block record)
LYNN AVE & MANSFIELD PL,2,fewer than 2 of the named streets are CNV streets
LYNN VALLEY RD # 000730 TO 000798 even,2,fewer than 2 street names parsed (mid-block record)
LYNN VALLEY RD # 000900 TO 000998 even,2,fewer than 2 street names parsed (mid-block record)
LYNN VALLEY RD # 000901 TO 000999 odd,2,fewer than 2 street names parsed (mid-block record)
LYNN VALLEY RD & UPTON RD,2,fewer than 2 of the named streets are CNV streets
LYTTON ST # 000800 TO 000949,2,fewer than 2 street names parsed (mid-block record)
MACGOWAN AVE # 001500 TO 001569,2,fewer than 2 street names parsed (mid-block record)
MACKAY AVE # 001620 TO 001699,2,fewer than 2 street names parsed (mid-block record)
MACKAY RD # 000150 TO 000223,2,fewer than 2 street names parsed (mid-block record)
MAHON AVE # 003350 TO 003479,2,fewer than 2 street names parsed (mid-block record)
MAHON AVE & MOUNTAINSIDE SECONDARY SCHOOL ACCESS & W OSBORNE RD,2,fewer than 2 of the named streets are CNV streets
MAHON AVE & W WINDSOR RD,2,fewer than 2 of the named streets are CNV streets
MAIN ST # 001520 TO 001588 even,2,fewer than 2 street names parsed (mid-block record)
MAIN ST & TRANS-CANADA HWY,2,fewer than 2 of the named streets are CNV streets
MAPLERIDGE DR & MONTROYAL BLVD,2,fewer than 2 of the named streets are CNV streets
MARINE DR # 001200 TO 001223,2,fewer than 2 street names parsed (mid-block record)
MARINE DR # 001500 TO 001599,2,fewer than 2 street names parsed (mid-block record)
MARINEVIEW CRES # 004500 TO 004599,2,fewer than 2 street names parsed (mid-block record)
MCEWEN AVE & PETERS RD,2,fewer than 2 of the named streets are CNV streets
MCGUIRE AVE # 001638 TO 001799,2,fewer than 2 street names parsed (mid-block record)
MCKEEN AVE & PEMBERTON AVE,2,fewer than 2 of the named streets are CNV streets
MCNAIR DR # 001516 TO 001576 even,2,fewer than 2 street names parsed (mid-block record)
MELBOURNE AVE # 000950 TO 000999,2,fewer than 2 street names parsed (mid-block record)
MONTERAY AVE # 000280 TO 000349,2,fewer than 2 street names parsed (mid-block record)
MONTROYAL BLVD # 000600 TO 000699,2,fewer than 2 street names parsed (mid-block record)
MONTROYAL BLVD # 000951 TO 000999,2,fewer than 2 street names parsed (mid-block record)
MONTROYAL BLVD # 001074 TO 001099,2,fewer than 2 street names parsed (mid-block record)
MONTROYAL BLVD & STARLIGHT WAY,2,fewer than 2 of the named streets are CNV streets
MOUNTAIN HWY # 000216 TO 000225,2,fewer than 2 street names parsed (mid-block record)
MOUNTAIN HWY # 001696 TO 001799,2,fewer than 2 street names parsed (mid-block record)
MOUNTAIN HWY # 002058 TO 002299,2,fewer than 2 street names parsed (mid-block record)
MOUNTAIN HWY # 002552 TO 002699,2,fewer than 2 street names parsed (mid-block record)
MOUNTAIN HWY # 002980 TO 002999,2,fewer than 2 street names parsed (mid-block record)
MOUNTAIN HWY & ST STEPHENS PL,2,fewer than 2 of the named streets are CNV streets
MT SEYMOUR PKY # 002072 TO 002198 even,2,fewer than 2 street names parsed (mid-block record)
MT SEYMOUR PKY # 002600 TO 002748 even,2,fewer than 2 street names parsed (mid-block record)
MT SEYMOUR PKY # 002601 TO 002749 odd,2,fewer than 2 street names parsed (mid-block record)
MT SEYMOUR PKY # 003300 TO 003398 even,2,fewer than 2 street names parsed (mid-block record)
MT SEYMOUR PKY # 003700 TO 003778 even,2,fewer than 2 street names parsed (mid-block record)
MT SEYMOUR PKY # 003800 TO 003999,2,fewer than 2 street names parsed (mid-block record)
MT SEYMOUR RD # 001270 TO 001610,2,fewer than 2 street names parsed (mid-block record)
MUNSTER AVE & SEYMOUR RIVER PL,2,fewer than 2 of the named streets are CNV streets
N DOLLARTON HWY # 000600 TO 000699,2,fewer than 2 street names parsed (mid-block record)
NANCY GREENE WAY # 006371 TO 006401,2,fewer than 2 street names parsed (mid-block record)
NORTHLANDS DR # 001001 TO 001018,2,fewer than 2 street names parsed (mid-block record)
OAKWOOD CRES # 001300 TO 001339,2,fewer than 2 street names parsed (mid-block record)
OLD LILLOOET RD # 000992 TO 001138 even,2,fewer than 2 street names parsed (mid-block record)
OLD LILLOOET RD & PREMIER ST & PARKING LOT,2,fewer than 2 of the named streets are CNV streets
ORWELL ST # 000000 TO 000060,2,fewer than 2 street names parsed (mid-block record)
ORWELL ST # 000700 TO 000779,2,fewer than 2 street names parsed (mid-block record)
OSPREY CRT # 003600 TO 003669,2,fewer than 2 street names parsed (mid-block record)
PAISLEY RD & RIDGEWOOD DR & SUNSET BLVD,2,fewer than 2 of the named streets are CNV streets
PEMBERTON AVE # 000051 TO 000129,2,fewer than 2 street names parsed (mid-block record)
PEMBERTON AVE # 001300 TO 001399,2,fewer than 2 street names parsed (mid-block record)
PEMBERTON AVE & W 26TH ST,2,fewer than 2 of the named streets are CNV streets
PETERS RD # 001600 TO 001725,2,fewer than 2 street names parsed (mid-block record)
PHILIP AVE # 000090 TO 000149,2,fewer than 2 street names parsed (mid-block record)
PHILIP AVE & W 15TH ST,2,fewer than 2 of the named streets are CNV streets
PHILIP AVE & W 22ND ST,2,fewer than 2 of the named streets are CNV streets
PLATT CRES # 001600 TO 001729,2,fewer than 2 street names parsed (mid-block record)
PLYMOUTH DR # 003030 TO 003099,2,fewer than 2 street names parsed (mid-block record)
PREMIER ST # 000600 TO 000768,2,fewer than 2 street names parsed (mid-block record)
PREMIER ST # 000723 TO 000831,2,fewer than 2 street names parsed (mid-block record)
PREMIER ST # 001170 TO 001236 even,2,fewer than 2 street names parsed (mid-block record)
PRINCESS AVE # 002900 TO 002999,2,fewer than 2 street names parsed (mid-block record)
PRINCESS AVE # 003700 TO 003805,2,fewer than 2 street names parsed (mid-block record)
PROSPECT AVE & RANGER AVE,2,fewer than 2 of the named streets are CNV streets
PURCELL WAY # 001804 TO 001988 even,2,fewer than 2 street names parsed (mid-block record)
RANGER AVE # 005100 TO 005299,2,fewer than 2 street names parsed (mid-block record)
REDONDA DR # 005060 TO 005159,2,fewer than 2 street names parsed (mid-block record)
REGAL CRES # 000788 TO 000899,2,fewer than 2 street names parsed (mid-block record)
RIVERGROVE PL # 001900 TO 002049,2,fewer than 2 street names parsed (mid-block record)
RIVERSIDE DR # 000500 TO 000599,2,fewer than 2 street names parsed (mid-block record)
RIVERSIDE DR # 001600 TO 002170,2,fewer than 2 street names parsed (mid-block record)
RIVERSIDE DR & WINDRIDGE DR,2,fewer than 2 of the named streets are CNV streets
ROCHE POINT DR # 000232 TO 000269,2,fewer than 2 street names parsed (mid-block record)
ROCKCLIFF RD # 001900 TO 002099,2,fewer than 2 street names parsed (mid-block record)
ROSS RD # 001601 TO 001699,2,fewer than 2 street names parsed (mid-block record)
RUSSELL CRT # 004100 TO 004199,2,fewer than 2 street names parsed (mid-block record)
SASAMAT LANE # 000300 TO 000322,2,fewer than 2 street names parsed (mid-block record)
SASAMAT LANE & SUNSHINE FALLS LANE,2,fewer than 2 of the named streets are CNV streets
SAUVE CRT # 000860 TO 000949,2,fewer than 2 street names parsed (mid-block record)
SENATOR RD # 000005 TO 000080,2,fewer than 2 street names parsed (mid-block record)
SHAKESPEARE AVE & WILLIAM AVE,2,fewer than 2 of the named streets are CNV streets
SHAVINGTON ST # 001000 TO 001119,2,fewer than 2 street names parsed (mid-block record)
ST ALBANS AVE # 003900 TO 004099,2,fewer than 2 street names parsed (mid-block record)
ST ALBANS AVE & ST PAULS AVE,2,fewer than 2 of the named streets are CNV streets
ST GEORGES AVE # 000054 TO 000099,2,fewer than 2 street names parsed (mid-block record)
ST GEORGES AVE # 000100 TO 000151,2,fewer than 2 street names parsed (mid-block record)
ST GEORGES AVE # 000200 TO 000249,2,fewer than 2 street names parsed (mid-block record)
ST MARYS AVE # 004000 TO 004199,2,fewer than 2 street names parsed (mid-block record)
ST PAULS AVE # 004100 TO 004299,2,fewer than 2 street names parsed (mid-block record)
STANLEY AVE # 003100 TO 003133,2,fewer than 2 street names parsed (mid-block record)
STRATHAVEN DR # 000800 TO 000926,2,fewer than 2 street names parsed (mid-block record)
STRATHAVEN DR # 001144 TO 001144 even,2,fewer than 2 street names parsed (mid-block record)
STRATHAVEN LANE # 003140 TO 003299,2,fewer than 2 street names parsed (mid-block record)
STRATHCONA RD # 004451 TO 004540,2,fewer than 2 street names parsed (mid-block record)
STRATHCONA RD # 004700 TO 004899,2,fewer than 2 street names parsed (mid-block record)
SUNSET BLVD # 003600 TO 003889,2,fewer than 2 street names parsed (mid-block record)
SUTHERLAND AVE # 001821 TO 001870,2,fewer than 2 street names parsed (mid-block record)
SYKES RD # 003600 TO 003699,2,fewer than 2 street names parsed (mid-block record)
THORNCLIFFE DR & W QUEENS RD,2,fewer than 2 of the named streets are CNV streets
TRANS-CANADA HWY # 001600 TO 001618 even,2,fewer than 2 street names parsed (mid-block record)
TRANS-CANADA HWY # 002000 TO 002020 even,2,fewer than 2 street names parsed (mid-block record)
TRANS-CANADA HWY # 002190 TO 002222 even,2,fewer than 2 street names parsed (mid-block record)
VENTURA CRES # 000460 TO 000559,2,fewer than 2 street names parsed (mid-block record)
VIOLET ST # 002600 TO 002749,2,fewer than 2 street names parsed (mid-block record)
W 14TH ST # 000224 TO 000299,2,fewer than 2 street names parsed (mid-block record)
W 14TH ST # 000312 TO 000399,2,fewer than 2 street names parsed (mid-block record)
W 14TH ST # 001100 TO 001175,2,fewer than 2 street names parsed (mid-block record)
W 15TH ST # 000211 TO 000259,2,fewer than 2 street names parsed (mid-block record)
W 15TH ST # 001100 TO 001175,2,fewer than 2 street names parsed (mid-block record)
W 16TH ST # 000226 TO 000273,2,fewer than 2 street names parsed (mid-block record)
W 16TH ST # 000400 TO 000499,2,fewer than 2 street names parsed (mid-block record)
W 17TH ST # 000100 TO 000121,2,fewer than 2 street names parsed (mid-block record)
W 17TH ST # 000222 TO 000225,2,fewer than 2 street names parsed (mid-block record)
W 18TH ST # 000122 TO 000175,2,fewer than 2 street names parsed (mid-block record)
W 1ST ST # 000800 TO 000821,2,fewer than 2 street names parsed (mid-block record)
W 1ST ST # 000822 TO 000849,2,fewer than 2 street names parsed (mid-block record)
W 22ND ST # 000502 TO 000599,2,fewer than 2 street names parsed (mid-block record)
W 22ND ST # 001200 TO 001299,2,fewer than 2 street names parsed (mid-block record)
W 23RD ST # 000500 TO 000599,2,fewer than 2 street names parsed (mid-block record)
W 25TH ST # 000300 TO 000398 even,2,fewer than 2 street names parsed (mid-block record)
W 26TH ST # 000300 TO 000399,2,fewer than 2 street names parsed (mid-block record)
W 26TH ST # 000400 TO 000499,2,fewer than 2 street names parsed (mid-block record)
W 2ND ST # 000100 TO 000119,2,fewer than 2 street names parsed (mid-block record)
W 3RD ST # 000717 TO 000787 odd,2,fewer than 2 street names parsed (mid-block record)
W 4TH ST # 000200 TO 000299,2,fewer than 2 street names parsed (mid-block record)
W 5TH ST # 000122 TO 000199,2,fewer than 2 street names parsed (mid-block record)
W 6TH ST # 000122 TO 000199,2,fewer than 2 street names parsed (mid-block record)
W ESPLANADE # 000124 TO 000149,2,fewer than 2 street names parsed (mid-block record)
W ESPLANADE # 000200 TO 000249,2,fewer than 2 street names parsed (mid-block record)
W ESPLANADE # 000250 TO 000259,2,fewer than 2 street names parsed (mid-block record)
W KEITH RD # 000101 TO 000169 odd,2,fewer than 2 street names parsed (mid-block record)
W ST JAMES RD # 000200 TO 000299,2,fewer than 2 street names parsed (mid-block record)
W ST JAMES RD # 000400 TO 000529,2,fewer than 2 street names parsed (mid-block record)
W VICTORIA PARK AVE # 000701 TO 000709 odd,2,fewer than 2 street names parsed (mid-block record)
W WINDSOR RD # 000400 TO 000508,2,fewer than 2 street names parsed (mid-block record)
W WINDSOR RD # 000501 TO 000599,2,fewer than 2 street names parsed (mid-block record)
WELLINGTON CRES # 003400 TO 003471,2,fewer than 2 street names parsed (mid-block record)
WELLINGTON DR & WELLINGTON PL,2,fewer than 2 of the named streets are CNV streets
WEMBLEY DR # 002740 TO 002868,2,fewer than 2 street names parsed (mid-block record)
WENDEL PL # 001100 TO 001179,2,fewer than 2 street names parsed (mid-block record)
WESTHYDE PL # 000650 TO 000729,2,fewer than 2 street names parsed (mid-block record)
WESTOVER RD # 001770 TO 001899,2,fewer than 2 street names parsed (mid-block record)
WESTVIEW DR # 002100 TO 002199,2,fewer than 2 street names parsed (mid-block record)
WOLFE ST # 001700 TO 001799,2,fewer than 2 street names parsed (mid-block record)
ADDERLEY LANE & E 7TH LANE & HENDRY AVE,1,fewer than 2 of the named streets are CNV streets
ADDERLEY ST & BROOKSBANK AVE,1,CNV street names but no matching CNV intersection
AINTREE DR # 003300 TO 003521,1,fewer than 2 street names parsed (mid-block record)
ALDERCREST DR # 003600 TO 003639,1,fewer than 2 street names parsed (mid-block record)
ALDERLYNN DR # 001650 TO 001749,1,fewer than 2 street names parsed (mid-block record)
ALLAN RD & DRAYCOTT RD,1,fewer than 2 of the named streets are CNV streets
ALPINE CRT # 000721 TO 000749,1,fewer than 2 street names parsed (mid-block record)
ALPINE CRT & SKYLINE DR,1,fewer than 2 of the named streets are CNV streets
ANITA CRT # 002000 TO 002099,1,fewer than 2 street names parsed (mid-block record)
ANNE MACDONALD WAY # 003494 TO 003599,1,fewer than 2 street names parsed (mid-block record)
APPIN RD # 001400 TO 001499,1,fewer than 2 street names parsed (mid-block record)
APPIN RD # 001500 TO 001543,1,fewer than 2 street names parsed (mid-block record)
APPIN RD & E 14TH ST,1,fewer than 2 of the named streets are CNV streets
ARBORLYNN DR # 001185 TO 001259,1,fewer than 2 street names parsed (mid-block record)
ARBORLYNN DR # 001240 TO 001369,1,fewer than 2 street names parsed (mid-block record)
ARBORLYNN DR # 001850 TO 001999,1,fewer than 2 street names parsed (mid-block record)
ARBORLYNN DR & BIRCHLYNN PL,1,fewer than 2 of the named streets are CNV streets
ARMOUR CRT & TOURNEY RD,1,fewer than 2 of the named streets are CNV streets
ARROYO CRT & DERBYSHIRE WAY & SECHELT DR,1,fewer than 2 of the named streets are CNV streets
ASHLEY CLOSE # 001617 TO 001629 odd,1,fewer than 2 street names parsed (mid-block record)
AUTOMALL DR # 000853 TO 000855 odd,1,fewer than 2 street names parsed (mid-block record)
AYR AVE # 003400 TO 003499,1,fewer than 2 street names parsed (mid-block record)
BADGER RD # 002330 TO 002599,1,fewer than 2 street names parsed (mid-block record)
BAIRD RD # 003151 TO 003199,1,fewer than 2 street names parsed (mid-block record)
BAIRD RD # 003348 TO 003379,1,fewer than 2 street names parsed (mid-block record)
BAIRD RD # 003600 TO 003649,1,fewer than 2 street names parsed (mid-block record)
BAIRD RD & CROFT RD,1,fewer than 2 of the named streets are CNV streets
BANBURY RD # 001650 TO 001699,1,fewer than 2 street names parsed (mid-block record)
BANBURY RD # 001800 TO 001899,1,fewer than 2 street names parsed (mid-block record)
BANBURY RD # 001950 TO 002099,1,fewer than 2 street names parsed (mid-block record)
BANBURY RD & SUMMERSIDE LANE,1,fewer than 2 of the named streets are CNV streets
BANFF CRT # 003670 TO 003690 even,1,fewer than 2 street names parsed (mid-block record)
BANFF CRT & MT SEYMOUR RD,1,fewer than 2 of the named streets are CNV streets
BARLYNN CRES & MOUNTAIN HWY,1,fewer than 2 of the named streets are CNV streets
BAY ST & ORWELL ST,1,fewer than 2 of the named streets are CNV streets
BEACHVIEW DR # 000300 TO 000399,1,fewer than 2 street names parsed (mid-block record)
BEACHVIEW DR # 000500 TO 000599,1,fewer than 2 street names parsed (mid-block record)
BEACONSFIELD RD & CANTERBURY CRES & SKYLINE DR,1,fewer than 2 of the named streets are CNV streets
BEAUFORT PL & BEAUFORT RD,1,fewer than 2 of the named streets are CNV streets
BEAUFORT RD & BROCKTON CRES,1,fewer than 2 of the named streets are CNV streets
BEAUFORT RD & VIOLET ST,1,fewer than 2 of the named streets are CNV streets
BEAUMONT DR # 000900 TO 000951,1,fewer than 2 street names parsed (mid-block record)
BEAUMONT DR & HIGHLAND BLVD,1,fewer than 2 of the named streets are CNV streets
BELLOC ST # 002500 TO 002609,1,fewer than 2 street names parsed (mid-block record)
BELLOC ST & BERKLEY RD,1,fewer than 2 of the named streets are CNV streets
BELMONT AVE # 000880 TO 000899,1,fewer than 2 street names parsed (mid-block record)
BELMONT AVE # 000900 TO 000999,1,fewer than 2 street names parsed (mid-block record)
BELMONT AVE # 001000 TO 001015,1,fewer than 2 street names parsed (mid-block record)
BELMONT AVE & HIGHLAND BLVD,1,fewer than 2 of the named streets are CNV streets
BELVEDERE DR # 000930 TO 000989,1,fewer than 2 street names parsed (mid-block record)
BELVEDERE DR & HIGHLAND BLVD,1,fewer than 2 of the named streets are CNV streets
BELVEDERE DR & MONTROYAL BLVD,1,fewer than 2 of the named streets are CNV streets
BELVISTA CRES & HIGHLAND BLVD,1,fewer than 2 of the named streets are CNV streets
BELVISTA CRES & LIONS AVE,1,fewer than 2 of the named streets are CNV streets
BENDALE RD # 002483 TO 002499,1,fewer than 2 street names parsed (mid-block record)
BERKLEY AVE & BERKLEY RD & LAYTON DR,1,fewer than 2 of the named streets are CNV streets
BERKLEY RD & BYRON RD,1,fewer than 2 of the named streets are CNV streets
BERMON PL & WESTOVER RD,1,fewer than 2 of the named streets are CNV streets
BEVERLEY CRES # 003004 TO 003343,1,fewer than 2 street names parsed (mid-block record)
BEWICKE AVE # 000300 TO 000325,1,fewer than 2 street names parsed (mid-block record)
BEWICKE AVE # 001400 TO 001447,1,fewer than 2 street names parsed (mid-block record)
BEWICKE AVE # 001600 TO 001699,1,fewer than 2 street names parsed (mid-block record)
BEWICKE AVE & W 14TH LANE,1,fewer than 2 of the named streets are CNV streets
BIRCHLYNN PL # 001610 TO 001664 even,1,fewer than 2 street names parsed (mid-block record)
BLAIRVIEW AVE & HILL DR,1,fewer than 2 of the named streets are CNV streets
BLANTYRE PL # 003900 TO 003999,1,fewer than 2 street names parsed (mid-block record)
BLUE GROUSE WAY # 001080 TO 001099,1,fewer than 2 street names parsed (mid-block record)
BLUE GROUSE WAY & BLUEBERRY LANE,1,fewer than 2 of the named streets are CNV streets
BLUERIDGE AVE # 000695 TO 000769,1,fewer than 2 street names parsed (mid-block record)
BLUERIDGE AVE & BONITA DR,1,fewer than 2 of the named streets are CNV streets
BLUERIDGE AVE & SKYLINE DR,1,fewer than 2 of the named streets are CNV streets
BLYTHWOOD DR & DELBROOK AVE,1,fewer than 2 of the named streets are CNV streets
BOND ST # 001500 TO 001569,1,fewer than 2 street names parsed (mid-block record)
BOND ST # 001570 TO 001599,1,fewer than 2 street names parsed (mid-block record)
BORTHWICK RD & MOUNTAIN HWY,1,fewer than 2 of the named streets are CNV streets
BOULEVARD CRES # 002011 TO 002061 odd,1,fewer than 2 street names parsed (mid-block record)
BOWSER AVE # 000100 TO 000149,1,fewer than 2 street names parsed (mid-block record)
BOWSER AVE # 002200 TO 002299,1,fewer than 2 street names parsed (mid-block record)
BRACKNELL PL # 001254 TO 001276 even,1,fewer than 2 street names parsed (mid-block record)
BRACKNELL PL # 001271 TO 001299,1,fewer than 2 street names parsed (mid-block record)
